Age,Age_sq,GP,MP,PTS_per_GP,TRB_per_GP,AST_per_GP,STL_per_GP,BLK_per_GP,TRB_per_min,AST_per_min,STL_per_min,BLK_per_min,FG%,3P%,FT%,USG%,BPM,VORP,AST_to_TOV,STL_BLK_sum,Toxic_Contract,Position_Clean,Experience_Category
34,65.01095408088416,54,14.7,0.08148148148148149,0.05740740740740741,0.025925925925925925,0.018518518518518517,0.001851851851851852,0.2108843537414966,0.09523809523809523,0.06802721088435375,0.006802721088435375,0.545,0.176,0.692,13.5,0.1,0.4,1.7499999999999998,1.1,0,PF,Veteran
23,8.626338696268764,18,13.3,0.30000000000000004,0.1611111111111111,0.03888888888888889,0.03333333333333333,0.005555555555555556,0.21804511278195488,0.05263157894736842,0.045112781954887216,0.007518796992481203,0.561,0.35,0.773,15.1,0.8,0.2,2.3333333333333335,0.7,0,PF,Prime
25,0.8780869480170171,7,8.0,0.41428571428571426,0.09999999999999999,0.1285714285714286,0.04285714285714286,0.0,0.0875,0.1125,0.0375,0.0,0.4,0.5,0.625,16.2,-2.5,0.0,3.0,0.3,0,PG,Prime
27,1.1298351997652707,5,1.8,0.2,0.12,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.333,0.773,19.7,2.4,0.0,1.7142857142857144,0.0,0,SF,Prime
30,16.50745757738765,82,32.5,0.18292682926829268,0.054878048780487805,0.01951219512195122,0.008536585365853657,0.0012195121951219512,0.13846153846153847,0.04923076923076923,0.021538461538461538,0.003076923076923077,0.473,0.374,0.847,17.1,-1.0,0.7,1.6,0.7999999999999999,0,PF,Veteran
21,24.37459044452051,82,28.3,0.12439024390243901,0.04878048780487805,0.014634146341463414,0.010975609756097562,0.010975609756097562,0.1413427561837456,0.04240282685512367,0.03180212014134275,0.03180212014134275,0.464,0.415,0.857,15.7,-1.3,0.4,1.0,1.8,0,PF,Rookie
20,35.24871631864638,12,5.5,0.13333333333333333,0.06666666666666667,0.075,0.016666666666666666,0.016666666666666666,0.14545454545454548,0.16363636363636364,0.03636363636363637,0.03636363636363637,0.421,0.286,0.5,15.8,-4.2,0.0,3.0,0.4,0,SG,Rookie
23,8.626338696268764,70,21.5,0.13,0.08285714285714285,0.014285714285714285,0.005714285714285714,0.017142857142857144,0.2697674418604651,0.046511627906976744,0.018604651162790697,0.05581395348837209,0.546,0.265,0.759,18.2,-0.9,0.4,0.625,1.6,0,PF,Prime
20,35.24871631864638,19,11.6,0.12631578947368421,0.04736842105263158,0.031578947368421054,0.021052631578947368,0.02631578947368421,0.07758620689655173,0.05172413793103448,0.034482758620689655,0.04310344827586207,0.321,0.229,0.75,11.0,-6.2,-0.2,5.999999999999999,0.9,0,C,Rookie
23,8.626338696268764,14,8.9,0.20714285714285713,0.1142857142857143,0.1357142857142857,0.0071428571428571435,0.0,0.1797752808988764,0.21348314606741572,0.011235955056179775,0.0,0.439,0.278,0.0,18.3,-2.6,0.0,2.7142857142857144,0.1,0,PG,Prime
33,49.88507995501003,41,13.9,0.09999999999999999,0.09268292682926829,0.036585365853658534,0.007317073170731707,0.004878048780487805,0.27338129496402874,0.1079136690647482,0.021582733812949638,0.014388489208633094,0.485,0.348,0.656,12.7,0.1,0.3,3.0,0.5,0,C,Veteran
26,0.003961073891143875,22,8.0,0.11818181818181818,0.06363636363636363,0.018181818181818184,0.009090909090909092,0.018181818181818184,0.175,0.05,0.025,0.05,0.48,0.333,1.0,16.0,-3.4,-0.1,0.8,0.6000000000000001,0,C,Prime
23,8.626338696268764,43,15.3,0.14186046511627906,0.09999999999999999,0.03255813953488372,0.0069767441860465115,0.0069767441860465115,0.28104575163398693,0.0915032679738562,0.0196078431372549,0.0196078431372549,0.422,0.303,0.684,18.2,-2.4,-0.1,1.7499999999999998,0.6,0,C,Prime
25,0.8780869480170171,68,15.1,0.08088235294117647,0.061764705882352944,0.007352941176470588,0.0058823529411764705,0.007352941176470588,0.27814569536423844,0.033112582781456956,0.026490066225165566,0.033112582781456956,0.596,0.278,0.619,14.1,-2.2,-0.1,0.7142857142857143,0.9,0,C,Prime
26,0.003961073891143875,29,26.8,0.23448275862068965,0.1724137931034483,0.11724137931034483,0.034482758620689655,0.013793103448275864,0.18656716417910446,0.12686567164179105,0.03731343283582089,0.014925373134328358,0.409,0.311,0.714,14.2,-2.8,-0.2,2.2666666666666666,1.4,0,PF,Prime
